Age at date of trial,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,98.0,99.0,100.0,101.0,102.0,103.0,104.0,105.0,106.0,107.0,108.0,109.0,110.0,111.0,112.0,113.0,114.0,115.0,116.0,117.0,118.0,119.0,120.0,121.0,122.0,123.0,124.0,125.0
0,1.0,1.99,2.97,3.95,4.92,5.89,6.86,7.82,8.77,9.72,10.67,11.61,12.55,13.48,14.4,15.33,16.24,17.16,18.06,18.97,19.87,20.76,21.65,22.53,23.41,24.29,25.16,26.03,26.89,27.75,28.6,29.45,30.3,31.14,31.97,32.81,33.63,34.45,35.27,36.09,36.9,37.7,38.5,39.29,40.09,40.87,41.65,42.43,43.2,43.97,44.74,45.5,46.25,47.0,47.74,48.48,49.22,49.95,50.68,51.4,52.11,52.82,53.52,54.22,54.92,55.6,56.29,56.96,57.63,58.29,58.95,59.6,60.24,60.88,61.51,62.13,62.74,63.34,63.93,64.51,65.08,65.64,66.19,66.72,67.24,67.75,68.23,68.7,69.15,69.58,69.98,70.36,70.72,71.04,71.34,71.6,71.83,72.03,72.19,72.33,72.43,72.51,72.57,72.61,72.63,72.65,72.66,72.66,72.66,72.66,72.66,72.66,72.66,72.66,72.66,72.66,72.66,72.66,72.66,72.66,72.66,72.66,72.66,72.66,72.66
1,,1.0,1.99,2.98,3.96,4.94,5.91,6.88,7.84,8.8,9.75,10.7,11.64,12.58,13.51,14.44,15.37,16.29,17.2,18.11,19.02,19.92,20.82,21.71,22.6,23.48,24.36,25.23,26.1,26.97,27.83,28.68,29.53,30.38,31.22,32.06,32.89,33.72,34.55,35.37,36.18,36.99,37.8,38.6,39.4,40.19,40.98,41.76,42.54,43.32,44.09,44.85,45.61,46.37,47.12,47.86,48.6,49.34,50.07,50.8,51.52,52.23,52.94,53.65,54.34,55.04,55.72,56.4,57.08,57.75,58.41,59.06,59.71,60.35,60.98,61.6,62.22,62.82,63.42,64.01,64.58,65.14,65.69,66.23,66.75,67.26,67.75,68.22,68.67,69.09,69.5,69.88,70.24,70.56,70.86,71.12,71.35,71.54,71.71,71.84,71.95,72.03,72.08,72.12,72.15,72.16,72.17,72.17,72.18,72.18,72.18,72.18,72.18,72.18,72.18,72.18,72.18,72.18,72.18,72.18,72.18,72.18,72.18,72.18,72.18
2,,,1.0,1.99,2.98,3.96,4.94,5.91,6.88,7.84,8.8,9.75,10.7,11.64,12.58,13.52,14.45,15.37,16.29,17.21,18.12,19.02,19.92,20.82,21.71,22.6,23.48,24.36,25.24,26.11,26.97,27.83,28.69,29.54,30.39,31.23,32.07,32.9,33.73,34.55,35.37,36.19,37.0,37.8,38.6,39.4,40.19,40.98,41.76,42.54,43.31,44.08,44.85,45.61,46.36,47.11,47.85,48.59,49.33,50.06,50.78,51.5,52.21,52.92,53.62,54.32,55.01,55.69,56.37,57.04,57.71,58.36,59.01,59.66,60.29,60.92,61.53,62.14,62.74,63.33,63.9,64.47,65.02,65.56,66.08,66.59,67.08,67.55,68.0,68.43,68.83,69.21,69.57,69.89,70.18,70.45,70.67,70.87,71.03,71.16,71.27,71.35,71.4,71.44,71.46,71.48,71.49,71.49,71.49,71.49,71.49,71.49,71.49,71.49,71.49,71.49,71.49,71.49,71.49,71.49,71.49,71.49,71.49,71.49,71.49
3,,,,1.0,1.99,2.98,3.96,4.94,5.91,6.88,7.84,8.8,9.75,10.7,11.64,12.58,13.52,14.45,15.37,16.29,17.21,18.12,19.02,19.92,20.82,21.71,22.6,23.48,24.36,25.24,26.11,26.97,27.83,28.69,29.54,30.38,31.23,32.06,32.9,33.72,34.55,35.37,36.18,36.99,37.8,38.6,39.39,40.18,40.97,41.75,42.53,43.3,44.07,44.83,45.59,46.34,47.09,47.84,48.57,49.31,50.03,50.76,51.47,52.18,52.89,53.59,54.28,54.97,55.65,56.32,56.99,57.65,58.3,58.95,59.58,60.21,60.83,61.44,62.04,62.63,63.21,63.78,64.33,64.87,65.39,65.9,66.39,66.86,67.31,67.74,68.15,68.53,68.88,69.2,69.5,69.76,69.98,70.18,70.34,70.47,70.57,70.65,70.7,70.74,70.76,70.78,70.79,70.79,70.79,70.79,70.79,70.79,70.79,70.79,70.79,70.79,70.79,70.79,70.79,70.79,70.79,70.79,70.79,70.79,70.79
4,,,,,1.0,1.99,2.98,3.96,4.94,5.91,6.88,7.84,8.8,9.75,10.7,11.64,12.58,13.52,14.45,15.37,16.29,17.21,18.12,19.02,19.92,20.82,21.71,22.6,23.48,24.36,25.23,26.1,26.97,27.83,28.68,29.53,30.38,31.22,32.06,32.89,33.72,34.54,35.36,36.17,36.98,37.79,38.59,39.38,40.17,40.96,41.74,42.52,43.29,44.06,44.82,45.57,46.33,47.07,47.81,48.55,49.28,50.01,50.73,51.44,52.15,52.85,53.55,54.24,54.92,55.6,56.27,56.93,57.58,58.23,58.87,59.5,60.12,60.74,61.34,61.93,62.51,63.08,63.63,64.17,64.7,65.21,65.7,66.17,66.62,67.05,67.45,67.83,68.19,68.51,68.8,69.06,69.29,69.48,69.64,69.77,69.87,69.94,70.0,70.04,70.06,70.07,70.08,70.09,70.09,70.09,70.09,70.09,70.09,70.09,70.09,70.09,70.09,70.09,70.09,70.09,70.09,70.09,70.09,70.09,70.09
5,,,,,,1.0,1.99,2.98,3.96,4.94,5.91,6.88,7.84,8.8,9.75,10.7,11.64,12.58,13.52,14.45,15.37,16.29,17.21,18.12,19.02,19.92,20.82,21.71,22.6,23.48,24.36,25.23,26.1,26.97,27.83,28.68,29.53,30.38,31.22,32.05,32.89,33.71,34.54,35.35,36.17,36.98,37.78,38.58,39.37,40.16,40.95,41.73,42.5,43.27,44.04,44.8,45.55,46.31,47.05,47.79,48.52,49.25,49.98,50.69,51.4,52.11,52.81,53.5,54.19,54.87,55.54,56.21,56.86,57.51,58.16,58.79,59.41,60.03,60.63,61.23,61.81,62.38,62.93,63.47,64.0,64.51,65.0,65.47,65.93,66.35,66.76,67.14,67.49,67.81,68.1,68.36,68.58,68.78,68.93,69.06,69.16,69.24,69.29,69.33,69.35,69.36,69.37,69.37,69.38,69.38,69.38,69.38,69.38,69.38,69.38,69.38,69.38,69.38,69.38,69.38,69.38,69.38,69.38,69.38,69.38
6,,,,,,,1.0,1.99,2.98,3.96,4.94,5.91,6.88,7.84,8.8,9.75,10.7,11.64,12.58,13.52,14.45,15.37,16.29,17.21,18.12,19.02,19.92,20.82,21.71,22.6,23.48,24.36,25.23,26.1,26.96,27.82,28.68,29.53,30.37,31.21,32.05,32.88,33.71,34.53,35.35,36.16,36.97,37.77,38.57,39.36,40.15,40.93,41.71,42.49,43.26,44.02,44.78,45.53,46.28,47.03,47.76,48.49,49.22,49.94,50.66,51.36,52.07,52.76,53.45,54.13,54.81,55.48,56.14,56.79,57.44,58.07,58.7,59.32,59.92,60.52,61.1,61.67,62.23,62.77,63.3,63.81,64.3,64.77,65.23,65.66,66.06,66.44,66.79,67.11,67.4,67.66,67.88,68.07,68.23,68.35,68.45,68.52,68.58,68.61,68.64,68.65,68.66,68.66,68.66,68.66,68.66,68.66,68.66,68.66,68.66,68.66,68.66,68.66,68.66,68.66,68.66,68.66,68.66,68.66,68.66
7,,,,,,,,1.0,1.99,2.98,3.96,4.94,5.91,6.88,7.84,8.8,9.75,10.7,11.64,12.58,13.52,14.45,15.37,16.29,17.2,18.11,19.02,19.92,20.82,21.71,22.6,23.48,24.36,25.23,26.1,26.96,27.82,28.67,29.52,30.37,31.21,32.04,32.87,33.7,34.52,35.34,36.15,36.96,37.76,38.56,39.35,40.14,40.92,41.7,42.47,43.24,44.0,44.76,45.51,46.26,47.0,47.73,48.46,49.19,49.9,50.62,51.32,52.02,52.71,53.4,54.08,54.75,55.41,56.07,56.71,57.35,57.98,58.6,59.21,59.8,60.39,60.96,61.52,62.07,62.59,63.11,63.6,64.07,64.52,64.95,65.36,65.73,66.08,66.4,66.69,66.95,67.17,67.36,67.51,67.64,67.74,67.81,67.86,67.89,67.92,67.93,67.94,67.94,67.94,67.94,67.94,67.94,67.94,67.94,67.94,67.94,67.94,67.94,67.94,67.94,67.94,67.94,67.94,67.94,67.94
8,,,,,,,,,1.0,1.99,2.98,3.96,4.94,5.91,6.88,7.84,8.8,9.75,10.7,11.64,12.58,13.52,14.45,15.37,16.29,17.2,18.11,19.02,19.92,20.82,21.71,22.59,23.48,24.35,25.23,26.09,26.96,27.82,28.67,29.52,30.36,31.2,32.04,32.87,33.69,34.51,35.33,36.14,36.95,37.75,38.54,39.34,40.12,40.9,41.68,42.45,43.22,43.98,44.73,45.48,46.23,46.97,47.7,48.43,49.15,49.86,50.57,51.27,51.97,52.66,53.34,54.01,54.68,55.34,55.99,56.63,57.26,57.88,58.49,59.09,59.68,60.25,60.81,61.36,61.88,62.4,62.89,63.36,63.82,64.24,64.65,65.03,65.37,65.69,65.98,66.23,66.45,66.64,66.79,66.92,67.01,67.09,67.14,67.17,67.19,67.21,67.21,67.22,67.22,67.22,67.22,67.22,67.22,67.22,67.22,67.22,67.22,67.22,67.22,67.22,67.22,67.22,67.22,67.22,67.22
