Age at date of trial,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,98.0,99.0,100.0,101.0,102.0,103.0,104.0,105.0,106.0,107.0,108.0,109.0,110.0,111.0,112.0,113.0,114.0,115.0,116.0,117.0,118.0,119.0,120.0,121.0,122.0,123.0,124.0,125.0
0,1.0,1.98,2.97,3.95,4.92,5.89,6.85,7.81,8.77,9.72,10.66,11.6,12.54,13.47,14.39,15.31,16.23,17.14,18.05,18.95,19.85,20.74,21.63,22.52,23.4,24.27,25.14,26.01,26.87,27.72,28.57,29.42,30.26,31.1,31.93,32.76,33.59,34.41,35.22,36.03,36.84,37.64,38.43,39.22,40.01,40.79,41.57,42.34,43.1,43.86,44.62,45.37,46.12,46.86,47.59,48.32,49.05,49.77,50.48,51.19,51.89,52.59,53.28,53.96,54.64,55.31,55.97,56.63,57.28,57.92,58.56,59.18,59.8,60.41,61.01,61.6,62.18,62.75,63.3,63.85,64.38,64.9,65.4,65.89,66.36,66.81,67.25,67.66,68.06,68.43,68.78,69.11,69.41,69.68,69.92,70.14,70.32,70.48,70.61,70.71,70.79,70.85,70.89,70.92,70.93,70.94,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95
1,,1.0,1.99,2.98,3.96,4.94,5.91,6.88,7.84,8.8,9.75,10.7,11.64,12.58,13.51,14.44,15.37,16.29,17.2,18.11,19.02,19.92,20.81,21.7,22.59,23.47,24.35,25.22,26.09,26.96,27.81,28.67,29.52,30.36,31.2,32.04,32.87,33.7,34.52,35.33,36.15,36.95,37.76,38.55,39.35,40.13,40.92,41.69,42.47,43.23,43.99,44.75,45.5,46.25,46.99,47.73,48.46,49.18,49.9,50.62,51.33,52.03,52.72,53.41,54.1,54.77,55.44,56.1,56.76,57.4,58.04,58.67,59.3,59.91,60.51,61.11,61.69,62.26,62.82,63.37,63.9,64.42,64.93,65.42,65.89,66.35,66.79,67.2,67.6,67.97,68.32,68.65,68.95,69.22,69.46,69.68,69.86,70.02,70.15,70.25,70.32,70.38,70.42,70.45,70.47,70.48,70.48,70.48,70.49,70.49,70.49,70.49,70.49,70.49,70.49,70.49,70.49,70.49,70.49,70.49,70.49,70.49,70.49,70.49,70.49
2,,,1.0,1.99,2.98,3.96,4.94,5.91,6.88,7.84,8.8,9.75,10.7,11.64,12.58,13.52,14.45,15.37,16.29,17.2,18.11,19.02,19.92,20.82,21.71,22.6,23.48,24.36,25.23,26.1,26.96,27.82,28.67,29.52,30.37,31.21,32.04,32.87,33.7,34.52,35.34,36.15,36.95,37.75,38.55,39.34,40.13,40.91,41.69,42.46,43.22,43.98,44.74,45.49,46.24,46.98,47.71,48.44,49.16,49.88,50.59,51.3,52.0,52.69,53.37,54.05,54.73,55.39,56.05,56.7,57.34,57.97,58.6,59.21,59.82,60.41,61.0,61.57,62.13,62.68,63.22,63.74,64.25,64.74,65.21,65.67,66.11,66.52,66.92,67.29,67.64,67.97,68.26,68.53,68.78,68.99,69.17,69.33,69.45,69.55,69.63,69.69,69.72,69.75,69.77,69.78,69.78,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79
3,,,,1.0,1.99,2.98,3.96,4.94,5.91,6.88,7.84,8.8,9.75,10.7,11.64,12.58,13.52,14.45,15.37,16.29,17.2,18.11,19.02,19.92,20.82,21.71,22.59,23.48,24.35,25.23,26.09,26.96,27.82,28.67,29.52,30.36,31.2,32.04,32.87,33.69,34.51,35.33,36.14,36.94,37.74,38.54,39.33,40.11,40.89,41.67,42.44,43.2,43.96,44.72,45.47,46.21,46.95,47.68,48.41,49.13,49.84,50.55,51.25,51.95,52.64,53.32,53.99,54.66,55.32,55.97,56.62,57.25,57.88,58.49,59.1,59.7,60.29,60.86,61.42,61.98,62.51,63.04,63.54,64.04,64.51,64.97,65.4,65.82,66.22,66.59,66.94,67.26,67.56,67.83,68.07,68.28,68.46,68.61,68.74,68.84,68.91,68.97,69.01,69.03,69.05,69.06,69.06,69.07,69.07,69.07,69.07,69.07,69.07,69.07,69.07,69.07,69.07,69.07,69.07,69.07,69.07,69.07,69.07,69.07,69.07
4,,,,,1.0,1.99,2.98,3.96,4.94,5.91,6.88,7.84,8.8,9.75,10.7,11.64,12.58,13.52,14.45,15.37,16.29,17.2,18.11,19.02,19.92,20.82,21.71,22.59,23.47,24.35,25.22,26.09,26.95,27.81,28.66,29.51,30.36,31.2,32.03,32.86,33.68,34.5,35.32,36.13,36.93,37.73,38.52,39.31,40.1,40.87,41.65,42.42,43.18,43.94,44.69,45.44,46.18,46.91,47.64,48.37,49.08,49.8,50.5,51.2,51.89,52.58,53.25,53.92,54.59,55.24,55.89,56.53,57.15,57.77,58.38,58.98,59.57,60.15,60.71,61.26,61.8,62.33,62.84,63.33,63.8,64.26,64.7,65.11,65.51,65.88,66.23,66.55,66.85,67.12,67.35,67.56,67.74,67.89,68.02,68.12,68.19,68.24,68.28,68.31,68.32,68.33,68.34,68.34,68.34,68.34,68.34,68.34,68.34,68.34,68.34,68.34,68.34,68.34,68.34,68.34,68.34,68.34,68.34,68.34,68.34
5,,,,,,1.0,1.99,2.98,3.96,4.94,5.91,6.88,7.84,8.8,9.75,10.7,11.64,12.58,13.52,14.45,15.37,16.29,17.2,18.11,19.02,19.92,20.81,21.7,22.59,23.47,24.35,25.22,26.09,26.95,27.81,28.66,29.51,30.35,31.19,32.02,32.85,33.67,34.49,35.31,36.11,36.92,37.71,38.51,39.29,40.08,40.85,41.63,42.39,43.15,43.91,44.66,45.4,46.14,46.88,47.6,48.32,49.04,49.75,50.45,51.14,51.83,52.51,53.18,53.85,54.51,55.16,55.8,56.43,57.05,57.66,58.26,58.85,59.43,60.0,60.55,61.09,61.61,62.12,62.62,63.09,63.55,63.99,64.4,64.8,65.17,65.52,65.84,66.13,66.4,66.64,66.84,67.02,67.17,67.29,67.39,67.46,67.52,67.55,67.58,67.6,67.6,67.61,67.61,67.61,67.61,67.61,67.61,67.61,67.61,67.61,67.61,67.61,67.61,67.61,67.61,67.61,67.61,67.61,67.61,67.61
6,,,,,,,1.0,1.99,2.98,3.96,4.94,5.91,6.88,7.84,8.8,9.75,10.7,11.64,12.58,13.52,14.44,15.37,16.29,17.2,18.11,19.02,19.92,20.81,21.7,22.59,23.47,24.34,25.22,26.08,26.94,27.8,28.65,29.5,30.34,31.18,32.01,32.84,33.66,34.48,35.29,36.1,36.9,37.7,38.49,39.27,40.05,40.83,41.6,42.37,43.12,43.88,44.63,45.37,46.11,46.84,47.56,48.28,48.99,49.69,50.39,51.08,51.76,52.44,53.11,53.77,54.42,55.06,55.69,56.32,56.93,57.54,58.13,58.71,59.28,59.83,60.37,60.9,61.41,61.9,62.38,62.83,63.27,63.69,64.08,64.45,64.8,65.12,65.41,65.68,65.91,66.12,66.3,66.44,66.56,66.66,66.73,66.78,66.82,66.85,66.86,66.87,66.87,66.88,66.88,66.88,66.88,66.88,66.88,66.88,66.88,66.88,66.88,66.88,66.88,66.88,66.88,66.88,66.88,66.88,66.88
7,,,,,,,,1.0,1.99,2.98,3.96,4.94,5.91,6.88,7.84,8.8,9.75,10.7,11.64,12.58,13.52,14.44,15.37,16.29,17.2,18.11,19.01,19.91,20.81,21.7,22.58,23.46,24.34,25.21,26.08,26.94,27.79,28.65,29.49,30.33,31.17,32.0,32.83,33.65,34.47,35.28,36.08,36.88,37.68,38.47,39.25,40.03,40.8,41.57,42.34,43.09,43.84,44.59,45.33,46.06,46.79,47.51,48.23,48.93,49.63,50.33,51.01,51.69,52.36,53.02,53.68,54.32,54.96,55.58,56.2,56.81,57.4,57.98,58.55,59.11,59.65,60.18,60.69,61.18,61.66,62.11,62.55,62.97,63.36,63.73,64.08,64.4,64.69,64.95,65.19,65.39,65.56,65.71,65.83,65.92,66.0,66.05,66.08,66.11,66.12,66.13,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.14
8,,,,,,,,,1.0,1.99,2.98,3.96,4.94,5.91,6.88,7.84,8.8,9.75,10.7,11.64,12.58,13.51,14.44,15.37,16.28,17.2,18.11,19.01,19.91,20.81,21.7,22.58,23.46,24.34,25.21,26.07,26.93,27.79,28.64,29.48,30.32,31.16,31.99,32.82,33.64,34.45,35.26,36.06,36.86,37.66,38.44,39.23,40.0,40.78,41.54,42.3,43.06,43.81,44.55,45.29,46.02,46.74,47.46,48.17,48.87,49.57,50.26,50.94,51.61,52.28,52.93,53.58,54.22,54.85,55.46,56.07,56.67,57.25,57.82,58.38,58.92,59.45,59.96,60.46,60.93,61.39,61.83,62.24,62.64,63.0,63.35,63.67,63.96,64.22,64.45,64.66,64.83,64.97,65.09,65.18,65.25,65.3,65.34,65.36,65.38,65.39,65.39,65.39,65.4,65.4,65.4,65.4,65.4,65.4,65.4,65.4,65.4,65.4,65.4,65.4,65.4,65.4,65.4,65.4,65.4
9,,,,,,,,,,1.0,1.99,2.98,3.96,4.94,5.91,6.88,7.84,8.8,9.75,10.7,11.64,12.58,13.51,14.44,15.36,16.28,17.2,18.1,19.01,19.91,20.8,21.69,22.58,23.46,24.33,25.2,26.06,26.92,27.78,28.63,29.47,30.31,31.15,31.98,32.8,33.62,34.43,35.24,36.04,36.84,37.63,38.42,39.2,39.98,40.75,41.51,42.27,43.02,43.77,44.51,45.24,45.97,46.69,47.4,48.11,48.81,49.5,50.18,50.86,51.53,52.18,52.83,53.47,54.1,54.72,55.33,55.93,56.51,57.09,57.65,58.19,58.72,59.23,59.73,60.2,60.66,61.1,61.51,61.91,62.27,62.62,62.93,63.22,63.48,63.72,63.92,64.09,64.23,64.35,64.44,64.51,64.56,64.59,64.62,64.63,64.64,64.64,64.64,64.65,64.65,64.65,64.65,64.65,64.65,64.65,64.65,64.65,64.65,64.65,64.65,64.65,64.65,64.65,64.65,64.65
10,,,,,,,,,,,1.0,1.99,2.98,3.96,4.94,5.91,6.88,7.84,8.8,9.75,10.7,11.64,12.58,13.51,14.44,15.36,16.28,17.19,18.1,19.01,19.9,20.8,21.69,22.57,23.45,24.32,25.19,26.06,26.92,27.77,28.62,29.46,30.3,31.13,31.96,32.78,33.6,34.41,35.22,36.02,36.82,37.61,38.39,39.17,39.94,40.71,41.47,42.23,42.98,43.72,44.46,45.19,45.91,46.63,47.34,48.04,48.74,49.42,50.1,50.77,51.43,52.08,52.72,53.36,53.98,54.59,55.19,55.77,56.35,56.91,57.45,57.98,58.5,58.99,59.47,59.93,60.36,60.78,61.17,61.54,61.88,62.2,62.48,62.74,62.97,63.17,63.34,63.48,63.6,63.69,63.76,63.81,63.84,63.86,63.88,63.88,63.89,63.89,63.89,63.89,63.89,63.89,63.89,63.89,63.89,63.89,63.89,63.89,63.89,63.89,63.89,63.89,63.89,63.89,63.89
11,,,,,,,,,,,,1.0,1.99,2.98,3.96,4.94,5.91,6.88,7.84,8.8,9.75,10.7,11.64,12.58,13.51,14.44,15.36,16.28,17.19,18.1,19.0,19.9,20.79,21.68,22.56,23.44,24.32,25.18,26.05,26.91,27.76,28.61,29.45,30.29,31.12,31.94,32.77,33.58,34.39,35.2,36.0,36.79,37.58,38.36,39.14,39.91,40.67,41.43,42.19,42.93,43.67,44.41,45.13,45.85,46.57,47.27,47.97,48.66,49.34,50.01,50.67,51.33,51.97,52.61,53.23,53.84,54.44,55.03,55.61,56.17,56.71,57.24,57.76,58.25,58.73,59.19,59.63,60.04,60.43,60.8,61.14,61.45,61.74,62.0,62.23,62.42,62.59,62.73,62.84,62.93,63.0,63.05,63.08,63.1,63.12,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13
