age_at_trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
0,1.0,2.0,2.99,3.99,4.99,5.98,6.98,7.97,8.97,9.97,10.96,11.96,12.96,13.95,14.95,15.94,16.94,17.94,18.93,19.93,20.92,21.92,22.91,23.91,24.9,25.9,26.89,27.89,28.88,29.88,30.87,31.86,32.86,33.85,34.84,35.84,36.83,37.82,38.81,39.8,40.79,41.78,42.77,43.76,44.75,45.73,46.72,47.7,48.69,49.67,50.65,51.63,52.62,53.59,54.57,55.55,56.52,57.5,58.47,59.43,60.4,61.37,62.33,63.29,64.24,65.2,66.15,67.09,68.04,68.97,69.91,70.84,71.76,72.67,73.58,74.49,75.38,76.27,77.14,78.01,78.86,79.7,80.53,81.34,82.13,82.9,83.65,84.37,85.07,85.74,86.37,86.97,87.53,88.05,88.52,88.95,89.32,89.64,89.91,90.13,90.31,90.44,90.53,90.6,90.64,90.67,90.68,90.69,90.69,90.69,90.69,90.69,90.69,90.69,90.69,90.69,90.69,90.69,90.69,90.69,90.69,90.69,90.69,90.69,90.69
1,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,9.99,10.99,11.99,12.99,13.99,14.99,15.99,16.99,17.99,18.98,19.98,20.98,21.98,22.98,23.98,24.97,25.97,26.97,27.97,28.96,29.96,30.96,31.95,32.95,33.94,34.94,35.93,36.93,37.92,38.92,39.91,40.9,41.89,42.88,43.87,44.86,45.85,46.84,47.83,48.81,49.8,50.78,51.76,52.75,53.73,54.71,55.68,56.66,57.63,58.6,59.57,60.54,61.5,62.46,63.42,64.38,65.33,66.28,67.22,68.16,69.1,70.03,70.95,71.87,72.78,73.69,74.58,75.47,76.35,77.21,78.07,78.91,79.74,80.54,81.34,82.11,82.85,83.58,84.27,84.94,85.57,86.17,86.73,87.25,87.72,88.14,88.51,88.83,89.09,89.31,89.48,89.61,89.71,89.77,89.81,89.84,89.85,89.86,89.86,89.87,89.87,89.87,89.87,89.87,89.87,89.87,89.87,89.87,89.87,89.87,89.87,89.87,89.87,89.87,89.87
2,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,12.99,13.99,14.99,15.99,16.99,17.99,18.99,19.99,20.99,21.98,22.98,23.98,24.98,25.98,26.97,27.97,28.97,29.96,30.96,31.96,32.95,33.95,34.94,35.94,36.93,37.93,38.92,39.91,40.9,41.89,42.88,43.87,44.86,45.85,46.84,47.82,48.81,49.79,50.78,51.76,52.74,53.72,54.69,55.67,56.64,57.61,58.58,59.55,60.51,61.48,62.43,63.39,64.34,65.29,66.23,67.17,68.11,69.04,69.96,70.88,71.79,72.69,73.59,74.47,75.35,76.22,77.07,77.91,78.73,79.54,80.33,81.1,81.84,82.56,83.26,83.92,84.55,85.15,85.7,86.21,86.68,87.1,87.46,87.78,88.04,88.26,88.42,88.55,88.64,88.71,88.75,88.77,88.79,88.79,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8
3,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,13.99,14.99,15.99,16.99,17.99,18.99,19.99,20.99,21.98,22.98,23.98,24.98,25.98,26.97,27.97,28.97,29.96,30.96,31.95,32.95,33.95,34.94,35.93,36.93,37.92,38.91,39.91,40.9,41.89,42.88,43.87,44.85,45.84,46.83,47.81,48.8,49.78,50.76,51.74,52.72,53.7,54.67,55.64,56.62,57.58,58.55,59.51,60.48,61.43,62.39,63.34,64.29,65.23,66.17,67.1,68.03,68.96,69.87,70.78,71.68,72.58,73.46,74.34,75.2,76.05,76.89,77.71,78.52,79.3,80.07,80.81,81.53,82.22,82.88,83.51,84.1,84.65,85.16,85.62,86.04,86.4,86.71,86.97,87.18,87.35,87.47,87.56,87.62,87.66,87.69,87.7,87.71,87.71,87.71,87.71,87.71,87.71,87.71,87.71,87.71,87.71,87.71,87.71,87.71,87.71,87.71,87.71,87.71,87.71
4,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,13.99,14.99,15.99,16.99,17.99,18.99,19.99,20.99,21.98,22.98,23.98,24.98,25.97,26.97,27.97,28.96,29.96,30.96,31.95,32.95,33.94,34.94,35.93,36.92,37.91,38.91,39.9,40.89,41.88,42.87,43.85,44.84,45.83,46.81,47.8,48.78,49.76,50.74,51.72,52.7,53.67,54.64,55.61,56.58,57.55,58.51,59.47,60.43,61.38,62.34,63.28,64.23,65.16,66.1,67.03,67.95,68.86,69.77,70.67,71.57,72.45,73.32,74.19,75.03,75.87,76.69,77.49,78.28,79.04,79.78,80.5,81.19,81.84,82.47,83.05,83.6,84.11,84.56,84.97,85.33,85.64,85.89,86.1,86.27,86.39,86.48,86.54,86.58,86.6,86.61,86.62,86.62,86.62,86.62,86.62,86.62,86.62,86.62,86.62,86.62,86.62,86.62,86.62,86.62,86.62,86.62,86.62,86.62
5,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,13.99,14.99,15.99,16.99,17.99,18.99,19.99,20.98,21.98,22.98,23.98,24.98,25.97,26.97,27.97,28.96,29.96,30.95,31.95,32.94,33.94,34.93,35.92,36.92,37.91,38.9,39.89,40.88,41.87,42.86,43.84,44.83,45.81,46.8,47.78,48.76,49.74,50.72,51.69,52.67,53.64,54.61,55.58,56.55,57.51,58.47,59.43,60.38,61.33,62.28,63.22,64.16,65.09,66.02,66.94,67.85,68.76,69.66,70.55,71.44,72.31,73.17,74.02,74.85,75.67,76.47,77.25,78.01,78.75,79.46,80.15,80.8,81.42,82.01,82.55,83.05,83.5,83.91,84.26,84.57,84.82,85.02,85.18,85.3,85.39,85.45,85.49,85.51,85.52,85.53,85.53,85.54,85.54,85.54,85.54,85.54,85.54,85.54,85.54,85.54,85.54,85.54,85.54,85.54,85.54,85.54,85.54
6,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,13.99,14.99,15.99,16.99,17.99,18.99,19.99,20.98,21.98,22.98,23.98,24.97,25.97,26.97,27.96,28.96,29.95,30.95,31.94,32.94,33.93,34.92,35.92,36.91,37.9,38.89,39.88,40.87,41.86,42.84,43.83,44.81,45.8,46.78,47.76,48.74,49.72,50.69,51.67,52.64,53.61,54.58,55.54,56.51,57.47,58.42,59.38,60.33,61.27,62.21,63.15,64.08,65.01,65.93,66.84,67.75,68.65,69.54,70.42,71.29,72.15,73.0,73.83,74.65,75.45,76.23,76.98,77.72,78.43,79.11,79.76,80.38,80.96,81.5,81.99,82.44,82.84,83.19,83.49,83.74,83.94,84.1,84.22,84.31,84.36,84.4,84.42,84.44,84.44,84.44,84.45,84.45,84.45,84.45,84.45,84.45,84.45,84.45,84.45,84.45,84.45,84.45,84.45,84.45,84.45,84.45
7,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,12.99,13.99,14.99,15.99,16.99,17.99,18.99,19.98,20.98,21.98,22.98,23.97,24.97,25.97,26.96,27.96,28.96,29.95,30.95,31.94,32.93,33.93,34.92,35.91,36.9,37.89,38.88,39.87,40.86,41.84,42.83,43.81,44.8,45.78,46.76,47.74,48.72,49.69,50.67,51.64,52.61,53.58,54.54,55.5,56.46,57.42,58.37,59.32,60.27,61.21,62.14,63.08,64.0,64.92,65.83,66.74,67.64,68.53,69.41,70.28,71.13,71.98,72.81,73.62,74.42,75.2,75.95,76.69,77.39,78.07,78.72,79.33,79.91,80.44,80.94,81.38,81.78,82.12,82.42,82.67,82.86,83.02,83.14,83.22,83.27,83.31,83.33,83.35,83.35,83.35,83.36,83.36,83.36,83.36,83.36,83.36,83.36,83.36,83.36,83.36,83.36,83.36,83.36,83.36,83.36,83.36
8,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,12.99,13.99,14.99,15.99,16.99,17.99,18.99,19.98,20.98,21.98,22.98,23.97,24.97,25.97,26.96,27.96,28.95,29.95,30.94,31.93,32.93,33.92,34.91,35.9,36.89,37.88,38.87,39.86,40.84,41.83,42.81,43.8,44.78,45.76,46.74,47.72,48.69,49.67,50.64,51.61,52.57,53.54,54.5,55.46,56.42,57.37,58.32,59.26,60.2,61.14,62.07,62.99,63.91,64.82,65.73,66.63,67.51,68.39,69.26,70.12,70.96,71.79,72.6,73.39,74.17,74.92,75.65,76.36,77.03,77.67,78.28,78.86,79.39,79.88,80.32,80.71,81.05,81.34,81.59,81.78,81.94,82.05,82.13,82.19,82.22,82.24,82.25,82.26,82.26,82.26,82.27,82.27,82.27,82.27,82.27,82.27,82.27,82.27,82.27,82.27,82.27,82.27,82.27,82.27,82.27
9,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,11.99,12.99,13.99,14.99,15.99,16.99,17.99,18.98,19.98,20.98,21.98,22.97,23.97,24.97,25.96,26.96,27.95,28.95,29.94,30.93,31.93,32.92,33.91,34.9,35.89,36.88,37.87,38.86,39.84,40.83,41.81,42.8,43.78,44.76,45.74,46.71,47.69,48.66,49.64,50.6,51.57,52.54,53.5,54.46,55.41,56.36,57.31,58.26,59.19,60.13,61.06,61.98,62.9,63.81,64.72,65.61,66.5,67.38,68.24,69.1,69.94,70.76,71.57,72.37,73.14,73.89,74.62,75.32,75.99,76.63,77.24,77.81,78.33,78.82,79.25,79.64,79.98,80.27,80.51,80.7,80.85,80.96,81.04,81.1,81.13,81.15,81.16,81.17,81.17,81.17,81.17,81.17,81.17,81.17,81.17,81.17,81.17,81.17,81.17,81.17,81.17,81.17,81.17,81.17,81.17
