age_at_trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
0,1.0,1.99,2.99,3.99,4.98,5.98,6.97,7.97,8.97,9.96,10.96,11.95,12.95,13.94,14.94,15.93,16.93,17.92,18.92,19.91,20.91,21.9,22.9,23.89,24.88,25.88,26.87,27.86,28.85,29.85,30.84,31.83,32.82,33.81,34.8,35.79,36.78,37.77,38.75,39.74,40.72,41.71,42.69,43.67,44.66,45.63,46.61,47.59,48.57,49.54,50.51,51.48,52.45,53.42,54.38,55.35,56.31,57.27,58.22,59.18,60.13,61.07,62.02,62.95,63.89,64.82,65.74,66.66,67.58,68.49,69.39,70.28,71.17,72.05,72.91,73.77,74.62,75.46,76.28,77.09,77.89,78.66,79.42,80.16,80.88,81.58,82.25,82.89,83.5,84.09,84.63,85.15,85.62,86.06,86.45,86.79,87.09,87.35,87.56,87.73,87.86,87.95,88.02,88.07,88.1,88.11,88.12,88.13,88.13,88.13,88.13,88.13,88.13,88.13,88.13,88.13,88.13,88.13,88.13,88.13,88.13,88.13,88.13,88.13,88.13
1,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,8.99,9.99,10.99,11.99,12.99,13.99,14.99,15.99,16.99,17.98,18.98,19.98,20.98,21.98,22.97,23.97,24.97,25.96,26.96,27.95,28.95,29.95,30.94,31.93,32.93,33.92,34.91,35.91,36.9,37.89,38.88,39.87,40.85,41.84,42.83,43.81,44.79,45.78,46.76,47.73,48.71,49.69,50.66,51.63,52.6,53.57,54.54,55.5,56.46,57.42,58.38,59.33,60.28,61.23,62.17,63.1,64.04,64.96,65.89,66.8,67.71,68.62,69.51,70.4,71.28,72.15,73.01,73.86,74.7,75.52,76.33,77.13,77.91,78.67,79.41,80.13,80.82,81.49,82.13,82.74,83.32,83.87,84.38,84.86,85.29,85.67,86.02,86.31,86.57,86.77,86.94,87.07,87.16,87.23,87.27,87.3,87.32,87.33,87.33,87.33,87.34,87.34,87.34,87.34,87.34,87.34,87.34,87.34,87.34,87.34,87.34,87.34,87.34,87.34,87.34,87.34
2,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,11.99,12.99,13.99,14.99,15.99,16.99,17.99,18.99,19.98,20.98,21.98,22.98,23.97,24.97,25.97,26.96,27.96,28.95,29.95,30.94,31.94,32.93,33.92,34.92,35.91,36.9,37.89,38.88,39.87,40.85,41.84,42.82,43.81,44.79,45.77,46.75,47.72,48.7,49.67,50.65,51.62,52.58,53.55,54.51,55.48,56.43,57.39,58.34,59.29,60.24,61.18,62.11,63.05,63.97,64.89,65.81,66.72,67.62,68.52,69.41,70.28,71.15,72.01,72.86,73.7,74.52,75.33,76.12,76.9,77.65,78.39,79.11,79.8,80.47,81.1,81.71,82.29,82.83,83.34,83.81,84.24,84.62,84.96,85.25,85.5,85.7,85.87,85.99,86.09,86.15,86.2,86.22,86.24,86.25,86.25,86.26,86.26,86.26,86.26,86.26,86.26,86.26,86.26,86.26,86.26,86.26,86.26,86.26,86.26,86.26,86.26,86.26
3,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,12.99,13.99,14.99,15.99,16.99,17.99,18.99,19.98,20.98,21.98,22.98,23.97,24.97,25.97,26.96,27.96,28.95,29.95,30.94,31.93,32.93,33.92,34.91,35.9,36.89,37.88,38.87,39.85,40.84,41.82,42.81,43.79,44.77,45.75,46.73,47.7,48.67,49.65,50.62,51.58,52.55,53.51,54.47,55.43,56.39,57.34,58.29,59.23,60.17,61.11,62.04,62.97,63.89,64.8,65.71,66.61,67.51,68.39,69.27,70.14,71.0,71.84,72.68,73.5,74.3,75.1,75.87,76.62,77.36,78.07,78.76,79.42,80.06,80.66,81.24,81.78,82.28,82.75,83.17,83.55,83.88,84.17,84.42,84.62,84.78,84.9,84.99,85.05,85.1,85.12,85.14,85.15,85.15,85.16,85.16,85.16,85.16,85.16,85.16,85.16,85.16,85.16,85.16,85.16,85.16,85.16,85.16,85.16,85.16,85.16
4,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,12.99,13.99,14.99,15.99,16.99,17.99,18.99,19.98,20.98,21.98,22.97,23.97,24.97,25.96,26.96,27.95,28.95,29.94,30.93,31.93,32.92,33.91,34.9,35.89,36.88,37.87,38.86,39.84,40.83,41.81,42.79,43.77,44.75,45.73,46.7,47.67,48.65,49.62,50.58,51.55,52.51,53.47,54.43,55.38,56.34,57.28,58.23,59.17,60.1,61.03,61.96,62.88,63.79,64.7,65.6,66.49,67.38,68.26,69.12,69.98,70.82,71.65,72.47,73.28,74.07,74.84,75.59,76.32,77.03,77.72,78.38,79.01,79.61,80.18,80.72,81.22,81.68,82.1,82.47,82.8,83.09,83.33,83.52,83.68,83.8,83.89,83.95,84.0,84.02,84.04,84.05,84.05,84.05,84.05,84.05,84.05,84.05,84.05,84.05,84.05,84.05,84.05,84.05,84.05,84.05,84.05,84.05,84.05,84.05
5,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,12.99,13.99,14.99,15.99,16.99,17.99,18.98,19.98,20.98,21.98,22.97,23.97,24.96,25.96,26.95,27.95,28.94,29.94,30.93,31.92,32.91,33.9,34.89,35.88,36.87,37.86,38.84,39.83,40.81,41.79,42.77,43.75,44.72,45.7,46.67,47.64,48.61,49.58,50.55,51.51,52.47,53.43,54.38,55.33,56.28,57.22,58.16,59.1,60.03,60.95,61.87,62.78,63.69,64.59,65.48,66.36,67.24,68.1,68.96,69.8,70.63,71.45,72.25,73.04,73.81,74.56,75.29,75.99,76.68,77.33,77.96,78.56,79.12,79.66,80.15,80.61,81.02,81.39,81.72,82.0,82.24,82.43,82.59,82.7,82.79,82.85,82.89,82.92,82.93,82.94,82.95,82.95,82.95,82.95,82.95,82.95,82.95,82.95,82.95,82.95,82.95,82.95,82.95,82.95,82.95,82.95,82.95,82.95
6,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,12.99,13.99,14.99,15.99,16.99,17.99,18.98,19.98,20.98,21.97,22.97,23.97,24.96,25.96,26.95,27.94,28.94,29.93,30.92,31.91,32.9,33.89,34.88,35.87,36.86,37.84,38.83,39.81,40.79,41.77,42.75,43.72,44.7,45.67,46.64,47.61,48.58,49.54,50.51,51.47,52.42,53.38,54.33,55.27,56.22,57.16,58.09,59.02,59.94,60.86,61.77,62.68,63.58,64.47,65.35,66.22,67.09,67.94,68.78,69.61,70.42,71.22,72.01,72.78,73.52,74.25,74.95,75.63,76.29,76.91,77.51,78.07,78.59,79.09,79.54,79.95,80.31,80.64,80.91,81.15,81.34,81.49,81.61,81.69,81.75,81.79,81.82,81.83,81.84,81.84,81.84,81.84,81.84,81.84,81.84,81.84,81.84,81.84,81.84,81.84,81.84,81.84,81.84,81.84,81.84,81.84,81.84
7,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,11.99,12.99,13.99,14.99,15.99,16.99,17.98,18.98,19.98,20.97,21.97,22.97,23.96,24.96,25.95,26.94,27.94,28.93,29.92,30.91,31.9,32.89,33.88,34.87,35.86,36.84,37.83,38.81,39.79,40.77,41.75,42.72,43.7,44.67,45.64,46.61,47.58,48.54,49.5,50.46,51.42,52.37,53.32,54.27,55.21,56.15,57.08,58.01,58.93,59.85,60.76,61.67,62.56,63.45,64.33,65.21,66.07,66.92,67.76,68.59,69.4,70.2,70.98,71.74,72.49,73.21,73.91,74.59,75.24,75.86,76.45,77.01,77.53,78.02,78.47,78.87,79.24,79.55,79.83,80.06,80.24,80.39,80.51,80.59,80.65,80.69,80.71,80.72,80.73,80.74,80.74,80.74,80.74,80.74,80.74,80.74,80.74,80.74,80.74,80.74,80.74,80.74,80.74,80.74,80.74,80.74,80.74
8,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,11.99,12.99,13.99,14.99,15.99,16.98,17.98,18.98,19.98,20.97,21.97,22.96,23.96,24.95,25.95,26.94,27.93,28.92,29.91,30.91,31.89,32.88,33.87,34.86,35.84,36.83,37.81,38.79,39.77,40.75,41.72,42.7,43.67,44.64,45.61,46.57,47.54,48.5,49.46,50.41,51.37,52.32,53.26,54.2,55.14,56.07,57.0,57.92,58.84,59.75,60.65,61.55,62.44,63.32,64.19,65.05,65.9,66.74,67.56,68.37,69.17,69.95,70.71,71.45,72.17,72.87,73.54,74.19,74.81,75.4,75.95,76.47,76.95,77.39,77.8,78.15,78.47,78.74,78.96,79.15,79.29,79.41,79.49,79.54,79.58,79.61,79.62,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63
9,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,11.99,12.99,13.99,14.99,15.99,16.98,17.98,18.98,19.97,20.97,21.96,22.96,23.95,24.95,25.94,26.93,27.92,28.92,29.91,30.89,31.88,32.87,33.86,34.84,35.83,36.81,37.79,38.77,39.74,40.72,41.69,42.67,43.64,44.6,45.57,46.53,47.5,48.45,49.41,50.36,51.31,52.26,53.2,54.13,55.06,55.99,56.91,57.83,58.74,59.64,60.53,61.42,62.3,63.17,64.03,64.88,65.71,66.53,67.34,68.14,68.92,69.67,70.41,71.13,71.83,72.5,73.14,73.76,74.34,74.89,75.4,75.88,76.32,76.72,77.07,77.38,77.65,77.87,78.05,78.19,78.3,78.38,78.44,78.48,78.5,78.51,78.52,78.52,78.52,78.53,78.53,78.53,78.53,78.53,78.53,78.53,78.53,78.53,78.53,78.53,78.53,78.53,78.53,78.53,78.53
