age,male
0,70.95
1,70.49
2,69.79
3,69.07
4,68.34
5,67.61
6,66.88
7,66.14
8,65.40
9,64.65
10,63.89
11,63.13
12,62.37
13,61.60
14,60.83
15,60.06
16,59.28
17,58.50
18,57.72
19,56.93
20,56.15
21,55.36
22,54.57
23,53.77
24,52.97
25,52.17
26,51.36
27,50.55
28,49.74
29,48.92
30,48.10
31,47.28
32,46.46
33,45.64
34,44.81
35,43.98
36,43.15
37,42.32
38,41.49
39,40.65
40,39.82
41,38.99
42,38.15
43,37.32
44,36.48
45,35.64
46,34.80
47,33.96
48,33.12
49,32.28
50,31.44
51,30.59
52,29.75
53,28.90
54,28.06
55,27.22
56,26.38
57,25.55
58,24.72
59,23.89
60,23.07
61,22.26
62,21.46
63,20.66
64,19.87
65,19.08
66,18.31
67,17.54
68,16.79
69,16.04
70,15.30
71,14.57
72,13.86
73,13.15
74,12.46
75,11.78
76,11.12
77,10.48
78,9.85
79,9.24
80,8.66
81,8.09
82,7.55
83,7.03
84,6.54
85,6.08
86,5.63
87,5.22
88,4.82
89,4.45
90,4.11
91,3.79
92,3.50
93,3.23
94,2.98
95,2.75
96,2.54
97,2.35
98,2.17
99,2.01
100,1.87
