age,female
0,72.66
1,72.18
2,71.49
3,70.79
4,70.09
5,69.38
6,68.66
7,67.94
8,67.22
9,66.49
10,65.76
11,65.02
12,64.28
13,63.54
14,62.79
15,62.04
16,61.28
17,60.52
18,59.76
19,58.99
20,58.22
21,57.45
22,56.67
23,55.89
24,55.11
25,54.32
26,53.52
27,52.73
28,51.93
29,51.12
30,50.32
31,49.51
32,48.70
33,47.88
34,47.06
35,46.24
36,45.42
37,44.59
38,43.77
39,42.93
40,42.10
41,41.27
42,40.43
43,39.59
44,38.74
45,37.90
46,37.05
47,36.20
48,35.36
49,34.50
50,33.65
51,32.80
52,31.95
53,31.10
54,30.25
55,29.40
56,28.55
57,27.70
58,26.86
59,26.02
60,25.18
61,24.34
62,23.51
63,22.68
64,21.85
65,21.03
66,20.21
67,19.40
68,18.59
69,17.79
70,17.00
71,16.22
72,15.45
73,14.69
74,13.94
75,13.20
76,12.48
77,11.78
78,11.09
79,10.42
80,9.77
81,9.14
82,8.53
83,7.95
84,7.38
85,6.84
86,6.33
87,5.84
88,5.38
89,4.96
90,4.56
91,4.20
92,3.86
93,3.56
94,3.28
95,3.03
96,2.79
97,2.57
98,2.37
99,2.18
100,2.02
