age_from,age_to,employed_level3,employed_level2,employed_level1,non_employed_level3,non_employed_level2,non_employed_level1
16,19,,0.89,0.86,,0.87,0.83
20,24,0.91,0.91,0.87,0.88,0.88,0.84
25,29,0.91,0.91,0.88,0.88,0.87,0.83
30,34,0.90,0.90,0.88,0.87,0.86,0.82
35,39,0.88,0.89,0.87,0.85,0.84,0.81
40,44,0.86,0.87,0.86,0.82,0.81,0.79
45,49,0.83,0.85,0.85,0.77,0.77,0.75
50,50,0.81,0.83,0.84,0.72,0.73,0.71
51,51,0.80,0.82,0.83,0.69,0.70,0.69
52,52,0.78,0.81,0.83,0.67,0.67,0.67
53,53,0.77,0.80,0.82,0.64,0.64,0.64
54,54,0.76,0.79,0.81,0.60,0.60,0.60
