age_from,age_to,employed_level3,employed_level2,employed_level1,non_employed_level3,non_employed_level2,non_employed_level1
16,19,,0.81,0.66,,0.78,0.63
20,24,0.88,0.82,0.69,0.86,0.78,0.63
25,29,0.88,0.83,0.72,0.84,0.77,0.64
30,34,0.88,0.84,0.75,0.82,0.77,0.65
35,39,0.88,0.86,0.77,0.81,0.76,0.65
40,44,0.88,0.85,0.79,0.79,0.73,0.62
45,49,0.87,0.84,0.80,0.73,0.65,0.53
50,50,0.85,0.83,0.80,0.65,0.55,0.44
51,51,0.84,0.83,0.80,0.62,0.51,0.40
52,52,0.83,0.83,0.80,0.57,0.46,0.36
53,53,0.82,0.83,0.81,0.51,0.40,0.32
54,54,0.82,0.83,0.81,0.45,0.34,0.28
