age_from,age_to,employed_level3,employed_level2,employed_level1,non_employed_level3,non_employed_level2,non_employed_level1
16,19,,0.39,0.22,,0.34,0.18
20,24,0.60,0.40,0.22,0.55,0.31,0.16
25,29,0.59,0.42,0.23,0.49,0.31,0.16
30,34,0.59,0.42,0.27,0.44,0.31,0.15
35,39,0.59,0.44,0.31,0.41,0.28,0.14
40,44,0.58,0.48,0.34,0.35,0.24,0.13
45,49,0.58,0.51,0.40,0.26,0.19,0.11
50,50,0.59,0.54,0.45,0.21,0.15,0.10
51,51,0.59,0.56,0.47,0.19,0.14,0.09
52,52,0.60,0.58,0.50,0.18,0.12,0.08
53,53,0.61,0.61,0.53,0.17,0.11,0.07
54,54,0.62,0.64,0.57,0.15,0.09,0.06
